Título,Link da Oferta,Desconto,Preço Promocional,Preço Normal
Pacote de Skins - Baile de Máscaras,https://store.playstation.com/pt-br/product/UP1018-CUSA11395_00-HALLOWEENPACK000,-60%,"R$12,76","R$31,90"
Pacote de Skins - Baile de Máscaras,https://store.playstation.com/pt-br/product/UP1018-PPSA01617_00-HALLOWEENPACK000,-60%,"R$12,76","R$31,90"
Pacote de Skins - Matinê,https://store.playstation.com/pt-br/product/UP1018-PPSA01617_00-DLC6SKINPACK0000,-60%,"R$12,76","R$31,90"
Pacote de Skins - Matinê,https://store.playstation.com/pt-br/product/UP1018-CUSA11395_00-DLC6SKINPACK0000,-60%,"R$12,76","R$31,90"
Mileena,https://store.playstation.com/pt-br/product/UP1018-PPSA01617_00-MILCHARACTER0000,-50%,"R$15,95","R$31,90"
Mileena,https://store.playstation.com/pt-br/product/UP1018-CUSA11395_00-MILCHARACTER0000,-50%,"R$15,95","R$31,90"
Pacote Mortal Kombat 11 Ultimate + Injustice 2 Ed. Lendária,https://store.playstation.com/pt-br/product/UP1018-CUSA11518_00-MK11UEINJ2LE0000,-90%,"R$44,99","R$449,99"
Nightwolf,https://store.playstation.com/pt-br/product/UP1018-PPSA01617_00-NITCHARACTER0000,-50%,"R$15,95","R$31,90"
Nightwolf,https://store.playstation.com/pt-br/product/UP1018-CUSA11395_00-NITCHARACTER0000,-50%,"R$15,95","R$31,90"
Rain,https://store.playstation.com/pt-br/product/UP1018-CUSA11395_00-RANCHARACTER0000,-50%,"R$15,95","R$31,90"
Rain,https://store.playstation.com/pt-br/product/UP1018-PPSA01617_00-RANCHARACTER0000,-50%,"R$15,95","R$31,90"
Shang Tsung,https://store.playstation.com/pt-br/product/UP1018-CUSA11395_00-SHTCHARACTER0000,-50%,"R$15,95","R$31,90"
Shang Tsung,https://store.playstation.com/pt-br/product/UP1018-PPSA01617_00-SHTCHARACTER0000,-50%,"R$15,95","R$31,90"
Shao Kahn,https://store.playstation.com/pt-br/product/UP1018-CUSA11395_00-SHACHARACTER0000,-50%,"R$15,95","R$31,90"
Shao Kahn,https://store.playstation.com/pt-br/product/UP1018-PPSA01617_00-SHACHARACTER0000,-50%,"R$15,95","R$31,90"
DRAGON BALL Z: KAKAROT,https://store.playstation.com/pt-br/product/UP0700-PPSA08084_00-ATREMASTER001PS5,-75%,"R$74,97","R$299,90"
Borderlands 3 PS4™ & PS5™,https://store.playstation.com/pt-br/product/UP1001-PPSA01462_00-0000000OAKNGSIEA,-85%,"R$44,98","R$299,90"
Borderlands 3 – Pacotão Passe de Temporada,https://store.playstation.com/pt-br/product/UP1001-PPSA01462_00-OAKULTEDDLCBUNDL,-67%,"R$123,71","R$374,90"
Borderlands 3 - Edição Superdeluxe PS4™ & PS5™,https://store.playstation.com/pt-br/product/UP1001-PPSA01462_00-000000OAKSIEASDD,-75%,"R$99,87","R$399,50"
Devil May Cry 5 Deluxe + Vergil,https://store.playstation.com/pt-br/product/UP0102-CUSA08216_00-DMC5PVERBUNDLE02,-60%,"R$67,80","R$169,50"
Crash Bandicoot™ - Pacote de Crashiversário,https://store.playstation.com/pt-br/product/UP0002-CUSA19035_00-CRASH2021BDL0002,-60%,"R$199,60","R$499,00"
